"text_id","question_title","question","text","ratingA1","ratingA2","ratingA3","labelA","ratingM1","ratingM2","ratingM3","ratingM4","ratingM5","labelM"
"text1694FR","for everone who is married?","is there a secret you wouldn't tell your spouse or do you tell them everything?","I don't tell my spouse everything, but what I do tell him is, if you want to ask me anything I will answer the truth (this applies to my past), but, don't ask a question that you don't want to hear the answer to.

Besides, I don't do anything that I can't answer for, since we have been married.  My husband is very good to me, I don't want to do anything that will hurt him, not purposely anyway.  What I did in my past can not be changed, what count is what I do in my future with him.","2","2","3","3","2","3","2","2","2","2"
"text1211T","is there anything to do in Las Vegas if your 14 and the rest of your family is over 21?","i obviously cant even set foot in a casino which my fam will do. what can i do there?","Where are you going to be staying? I have stayed at MGM many times with my kids, and they always have had a great time. MGM's pools are cool with a lazy river and water fall. This time we will be staying at the Mirage, my oldest is now 20 but the pool is still important. You will meet others your age in the pool and at the arcades. Have your parents take you to at least one show, I'd recommend Mystere, or Blue Man Group, my kids loved them. There are many others like, Mac King (this one is excellent and reasonably priced), Lance Burton, etc. There is so much to do in Vegas even if you are under 21. You can actually have a much better time than your parents, You will never wake up with a hangover or regreting a bad night gambling. HAVE FUN!","1","3","2","2","3","3","2","2","2","3"
"text1853T","Why Does NYC Have Poor Customer Service?","and why aren't the employees fired for being rude to customers?","I used to live near NYC.  I will say this.  New York is a great place, but one bad thing is poor customer service.  New York is a very fast-paced customer service environment.  Due to the fact that it is so fast-paced, the employees wind up being rude to their customers.  New York City is also very expensive.  A lot of the time employees are not fired is because many bosses feel that ""that is the way it is in New York.  Accept it or leave"".  Many people feel that this fast-paced environment gives New York City some sort of flavor.  It is what makes New York City, New York City.  It is part of the culture.

Many customer service representatives are also part of a union; therefore, it is more difficult to fire someone for almost anything.","2","2","2","2","2","3","1","2","2","2"
"text717PG","I want to be a politition so i can bring justice back to the true BRITISH law abiding folk how do i go about?","doing something like that does anybody know","You still ain't got it, its POLITICIAN! That aside, why not, personally speaking, I'm sick to death with todays politicians, they don't care, they are lining their own pockets with our dough for not very much in return, they do a lot against us, not for us. We need some fresh air in British politics, we need someone genuinely concerned about Britains future and how it is run, I don't think I will be sticking around for much longer unless it radically improves, I resent paying into a system that does very little for me, but does plenty for immigrants and scroungers who do not deserve it.","1","1","1","1","2","2","2","2","1","1"
"text1910SC","Christians, if the scripture is all true, then how is it possible people see ghosts, it doesnt make sense?","Because according to scripture that wouldnt be possible, but so many people claim to have seen them?","1) It could be demons, because scripture is obvious that they do interfere in human events. One might ask why demons would go around making strange noises, etc.... Well, my mom personally watches ghost channels on tv and I've seen how its turned her against Christianity, so if the demons want to turn people away from God, apparently they do a good job acting as ghosts. Naturally when you think of demon you might think of some horned beast that wants to go around killing people, but that is not their mission; their mission is deception, and ghosts apparently do deceive people away from God.

2) It COULD (in at least some instances) be your eyes or your mind playing tricks with you.","1","1","2","1","3","1","2","3","2","2"
"text57AH","Can anyone tell me the easiest  and least embarassing way to tell one of ur guyfriends u like them?","Because it's extremely hard. One of my guyfriends is really cute and funny and we've been friends for over 10 yrs. But i can't tell him i like him mainly because he has a gf. But this other guy is in one of my classes and i don't know his name. We're sort of friends, but we hardly talk to one another. Has this happen to any of u girls?","i had something close to that. but he didn't have a gf. he just asked me and my friend one day if we like one of our other guy friends and if not then who. So we said no and my friend thought it was embarrassing to tell and I just said i don't care if he knows now and my friend told him that i like him and he told my friend that he liked me. Okay now my answer, maybe it's best if he didn't have a gf and bring it up with maybe a game of truth or dare with your asking you and respond a bit casual. He'll tell you if he likes you or and that'd be it.","1","1","1","1","1","1","1","2","1","1"
"text1939FR","To women that are mothers, would you do something like this to your son?","Ok here's the deal. My sister is seeing a man and she invited him and his brother over for Thanksgiving dinner. My mom is having Thanksgiving at her house and she told my sister hey that's fine, invite them over. I have a really BIG sense of humor and was teasing my sister that I was gonna question the dude and ask him what his intentions are with my sister and when they going to get married. Next thing I know, my mom calls and told me I better not even think of doing something like that and then she started calling me lol ""boy"" and telling me I better behave my ass. Yeah my sister called my mom and told her and I got my ass ripped and I haven't even done anything! If you had a son, would you tell him the same thing? Do mothers and daughters really stick together like glue???","Not only did my Father ask every guy I dated these questions both of my brothers did as well so the poor guy got it three ways! Mom was gone by then and I didn't have a step-Mom yet...It is embarrassing to the sister/daughter but telling your Mom that you were only kidding should have been enough,Yes if I had a daughter and one if my son's said things like that I ask him to call his sister and apologies and promise her that he was only kidding. Sense My sons are grown now I wouldn't call him a boy though.","1","2","1","1","1","1","1","3","3","1"
"text100PG","When will they actually be legal...?","Hey Everyone...I was wondering when sugar gliders, gerbils and ferrets will be legal in CA? I know people are trying to pass a bill for ferrets. Any ideas when they will be passed?","Sugar Gliders eat a large diet of fruits, and vegetables, along with insects that can help trees.  They also like to tear up bark.  CA has a large amount of produce, and as they are prolific breeders the chances that a pair reproducing could destroy trees and do serious damage to the cash crops is why they are illegal.  Also, wild gliders can carry diseases (if unhealthy) that are dangerous to the native animals, and have no natural predators in California.  As for when they will be legal, that's a hard thing to know.  I would imagine that they aren't going to be legal in that state for quite some time, especially with the amount of work and lobbying it takes to pass a law or overturn one.","2","2","3","3","2","2","3","2","3","3"
"text997T","Why do people assume that Africa has wild animals roaming around everywhere?","I don't have pet lion or cheetah,believe it or not.","Have they ever asked you how you came to the US or if you live in trees or if you have cars or if it's true that we eat people and drink blood? My favorite is when a SOUTHERNER tell me that I have A FUNNY ACCENT. Now that is hilarious coming from someone who can't make a basic grammatically correct sentence! You learn to take it in stride and have fun at their expense along the way. My favorite way of making them look stupid is when someone asks me how I came to the US. Some people actually believe that we swam the Atlantic to get here. If someone is annoying the heck out of you,drop the hint that you eat other people.They'd leave you ALONE FOREVER.One of my younger brother's friiends was banned from coming to our house because we ate people.HOW THEY REACH THESE ABSURD CONCLUSIONS BAFFLE ME AND I'm called barbaric and stupid?","1","1","1","1","3","2","1","3","2","2"
"text538T","I'm 43 (no kids) only husband.  I hate California and want to leave!!  Where are some great places to live?","I prefer no big cities (< 50k population).  I have lived in Las Vegas and was raised in Maryland.  I would like to get a job either in finance or in social services.  I have background in both.  I just hate it here so much but don't know where to go.  Just tell me what you like about where you live!","I bailed out on California about 2 years ago.  The state is beautiful, but I had just had it with the population, the real estate prices, and the urban sprawl.  I moved to southeast Alaska.  I will only recommend it if you can handle living independently, enjoy wilderness, and can handle extremes in weather.  If you can manage or even like those things Alaska is wonderful.  Your area of occupational interest will probably limit you to living in our big town, Juneau.  Rest easy though, Juneau only has around 30,000 residents.  If you need a little more urbanity than Juneau, try southwest Oregon or perhaps Washington.","2","3","3","3","1","3","2","2","2","2"
"text1568FR","Being in love?","I am in love with more than one guy. I know this because when I talk to one guy my heart feels light and I can't help but smile when I talk to him, even if he's pissed or annoyed with me. And this is also the case with two other guys in my life. So can people really be in love with only one person? And is it okay to really love more than one person? Have any of you ever loved more than one person, so I know I'm not alone out there?","There is a difference between loving someone and being in love--it's a hard decision.  Yes, it is possible to  love more than one person at a time--it happens everyday.   Sometimes it is the attention or show of affection that you are in love with and not the actual guy.  haven't you ever thought if I could take this from that guy and that from this guy I would have the perfect guy!!!  Noone likes to be alone, so we look for little things that we can latch on to so that we don't go crazy.  There are no perfect people, so we have to find the one that is closest to what we need and then decide if that is enough or we keep looking.  That's how we end up loving more than one person ---right , wrong or indifferent--it happens.","1","1","2","1","1","3","2","3","3","3"
"text673FR","I am thinking of leaving my husband but I do not know how. Could some one give me advice on how to do it?","I love him so much but I don't like being the sole bred winner in the family we are on the verge of being kiked out of our apartment because we can't pay rent. He is jobless right now and we have a 2 year old daughter so I am so torn. I know he is my first true love but financially he is no good. I don't know what to do someone please help.","It makes things sooo much harder when you've got that much responsibilities on you,i know my situation was the same and i got rid,it's hard but there is light at the end of the tunnel,you need to talk and try to make arrangements for the future,but if that doesn't work like in my case it didn't your love for him will turn into hate and that isn't good for you or your daughter,you have to look at the bigger picture,would he change if you told him that this is the final straw,if he will well try and make a go of it but if not it'll be better to call it quits now than in a year or so....Good luck...","1","2","1","1","3","2","3","1","2","2"
"text1743SC","Do you think giving money to children on the streets really help them?","There are many children on the streets and most of them ask for money , some people believe that iving money is a good help, but many of these boys are sended by their own parents or somebody else and they abuse of children different ways.","If you have a problem giving them money, then give them food or clothes.  I'm sure anything would be appreciated.  I can't imagine sitting there with all my stuff and those poor children have nothing.  I would have to share.  If you don't agree then maybe you would like to move to Northern Va USA, where it's illegal to be homeless.  You would never have to see anything like that.  Pretty sad wouldn't you agree?  I mean these people do exist all over the world and yet they still suffer every day.  Funny, if the rich would reach a little deeper and give to others instead of their credit card companies, then this problem would be abolished.  Thank you.","1","1","1","1","2","1","2","3","2","2"
"text972T","What is your favorite place, city or country of the world? Why?","Please include where you are from. Thanks","My favorite place I have ever been was when I got to go to the Bahamas. I was only 7, but I remember most of it. The water was so clear, and from my uncle's guest house (which was right on the ocean) you could see the dolphins jumping up out really far in the ocean. They lived on a smaller island called Man-O-War. They had their own private beach area, and since the island was so small, most of the roads were made for golf carts, and there were few cars. It was so quiet and beautiful there(me being 7, I didnt appreciate the quietness as much as if I could go now). O I am from NC.","1","3","2","2","2","1","2","2","2","1"
"text634FR","he wont take no for answer.?","k there this guy who likes me, i told him im not interested, then he say ok then we can be friends, but everytime when we're talking hes always bringing why dont i like him and things like that, so i told im not comfortable with that kind of talk.

so i never call him anymore or answer his phone calls. hes always callling me, seems like he wont take no for an answer. so on friday hes got the nerve to block his number so finally i answered cuz i didnt know it was him. i told him i couldnt talk right now.

i wanna change my cell number cuz i dont think he'll never leave me alone... any suggestion please...","No means no. When you say it, have no questionable tone in your voice. Be firm with him. I knew guys like that and sometimes it is hard to be so harsh to a nice person that you just have no interest in. It will be hard but if he keeps this up, there are authorities that can be noted. Maybe look into your local stalking laws. And if it gets really serious keep a documentation of times/dates that he bothers you. Overall, a new cell # isn't the worst idea. But chances are he could find an even creepier way to contact you.","2","3","2","3","3","2","2","3","1","2"
"text1327NE","do ufo's exsist?","The BBC had an item about a hacker who hacked his way into American inteligence computers and found pictures of ufo's made by NASA","When I was in Vernon B.C. Canada in 1978 I saw something that changed my life. It was a UFO as big as a stadium , it was approx. 3am and there was one other witness who swore me to secrecy. I was there playing with a band. Since that time I have seen them in Manteca, CA.(1985) Chico CA(1973). Also 50 miles south of Santa Rosa, New Mexico right off highway 84 on the way to Roswell(2001). I know it sounds cliche' , but its true. Also Salt Flats Hwy 80 Utah (1975) . I believe that certain people are pegged for these experiences. Most people don't talk about them. I am no longer afraid, it has become part of our ever changing times lately. People that I have shared these stories with in more depth and detail no longer think it delusional or the ravings of a madman. The Manteca exp. had  ""missing time"".","2","1","2","1","3","1","3","1","2","2"
"text1482NE","What is the most important but underreported story of the year?","Even in our 24/7, 500 channel universe, lots of important stories never show up in the mainstream press - or they do show up only to be quickly pushed aside by the media obsession du jour (including runaway brides and celebrity trials).  What news story from the past year do you feel didn’t get enough attention from the press - and why do you think it didn’t?","The illegal immigration issue we are facing in the US is one of the most under reported in the Main Stream Media today.  We hear all the time the argument that these people are taking the jobs nobody wants, well that is a lie.  Look at the construction industry, the illegals have taken jobs away from legal Americans in this industry.  There are people in the United States who can not afford health insurance and yet the illegal immigrants get free health care from our government.  When our local law inforcement agencies find people who are undocumented and can't identify them, they call the Feds and guess what they are told...... ""Let them go, we don't have a place to put them"" or ""not enough man power.""     Our public schools in my area have all these special programs for these illegal immigrants, but what about my child? There is nothing so I have to hire a tutor for my child. There are some neiborhoods in CA and FL that are comprised of nothing but gangs which are made up of illegals and the local law enforcement groups are outmanned.  We are catering to a bunch of law breakers no matter how you look at it.  And our Federal Government is doing too little. We are continually talking about Homeland Security..... well they are not taking care of the biggest open area that smugglers, illegals (no matter what nationality), and terrorists can easily use to enter into our country, our Southern border. This is not just one story, this is an issue with several stories involed.","2","1","2","1","3","2","2","1","3","2"
"text1145T","How do you meet someone who has a white collar job?","Personally, I've been working fast food all of my life and it's like I""m always around high school kids and I never get to meet a guy who is a businessman, lawyer, doctor, etc, and has a college education. I also recently just graduated from college and looking for jobs. I just want to know will I meet a nice and well, educated guy in my line of work?","First of all, stop looking for men while you're working. In your spare time go to museums, art exhibits, theatre, and seminars. Culture yourself. Find things that interest you so that when you do meet someone you can carry a conversation intelligently.  Men, (especially white collar) love intelligent women.  They can also spot posers in an instant. So always be honest and never be embarrassed by your line of employment. Men find that even if the job isn't so hot your attitude can be. They will respect you for your honesty. You could also try enrolling in some computer classes to find a better job. Good luck honey.","2","3","3","3","3","3","3","2","2","3"
"text1109NE","How do you feel about Cindy Sheehan?","I read one Navy vetrans opinion in which he stated that he feels that she is disgracing her son's death. I personally feel that the subject could be easily disputed either way.","she is a grieving mother looking for an answer she will never get,i feel bad for her and she is causing no harm nor shame, she should be left to her quest,until she can come to grips with her grief. i only have a problem with people that think this lady is a problem, she can do no harm.

and if some other mother who lost a son on the battlefield wants to get up and proclaim his death made a difference for some noble cause i have no problem with that either, the key thing here is they have both earned the right to express their feelings whatever they are.","1","2","2","1","2","3","2","1","1","1"
"text1323PG","What would you do if Bush went to war in iran?","Would it be time to cash in your shares and buy gold and head for the hills?","If the Army hadn't medically discharged me, I'd be in Iraq right now.  From the men I've takled to that have been there, we're doing more help than harm.  I still think american presence in the war is dumb, but I wouldn't worry.  With the focus on training they have now, the majority of the military still seems to think Korea will be the next one.  If we go in, I'd be just as indifferent about Iraq.  It's not a war and the casualty reports are joke.  In a real full scale war, 5000 deaths would be paltry.  The soldiers that are there are often glad to be there.  It's hard for them, but they can come home knowing they did good.","1","2","2","1","1","3","3","2","3","3"
"text1444AH","Lord of the Rings Question folks....?","Where did Smeagol find the ring? What was the names of the caves/mountains that he lived in after finding it? I can't remember!!!","There was never any specific mention of just when smeagol/gollum found the one ring, only that it was ""ages ago.""  The ring sat a long time at the bottom of the Anduin River after Isildur was killed and Deagol found it, the implication was several hundred years.  Smeagol killed deagol for the ring and upon discovering he was invisible when wearing it, he used it for evil, sneaking and stealing.  He was eventually driven off by his family and the community.  Over the years he became over sensitive to the sun and began to hide underground during the day, this lead him under the mountains.  He was living in the Misty mountains when he lost the ring after what must have been several hundred years of possesion.","2","3","3","3","3","3","2","3","2","3"
"text1309AH","nit picking because i'm dark skin women?","i don't understan why me and my twin sister have been picked on because we are tall ,thin and dark skinned women we are 32 year old women but we look really young about 23.we each have children 3 for me and 4 for her.my kids are 11,10,(girls) and 2 1/2 son her kids are 13,10,17 month old girl (girls) and she has 1 son 8.way before we had children people picked on me and twin sister calling crackhead,ugly and cruel junior high high school and grown men and grown women and then whwen we confront these people they get amnesia like they don't know what were talking about.what should i do i have tried ignoring all i can .i take bus whatever i have to go.were tired of the giggling and laughing shit.i never had a felony but i believe i'm going to end up with one .me and my twin sister are good going women and we have good hearts and we are well known by people who like us.so why is the world messing with us like we are singled out.i hate to leave my house.i weigh 100 and my twin weigh 125 .","people are only doing to you what you allow them to do . ignoring is the best thing , i understand it is hard but your only other option would be to walk right up to them and ask them why they are laughing ..which could end up in a fight and you could end up with charges which isn't good for you or your kids...i look at it this way ..if my looks or the way i live my life helps anyone keep their minds off of their unhappy lives even if only for a few minutes that allows them to laugh a little then so be it i was glad i made someones day ... and besides that live your life and screw the rest","1","1","2","1","1","2","1","2","2","1"
"text246SC","since we can't prove god exist, does that mean we can break the ten commandments when ever we want?","I mean, we can commit murder, we can steal, commit incest without no consequences, become gay, commit adultry, we can envy, we can do anything since theres no consequence.  We can live life and die without no punishment for what we can do. So, there's no guilt in what we can do right?","Whats your basis for saying God doesn't exist? Because you can't see Him? Well I can't see you, only your words and since I can't see you does it mean that you doesn't exist? No. Same with God.  We don't see Him but we have his words which are supposed to be a testament to how we are to live.

You only have no guilt when you have no conscience, and no conscience when you are a cold, heartless, selfish, immoral person. I don't think that's the kind of influence you want to have in society is it? You have been given free will to do whatever it is you want in this life so make sure you err on the side of caution in your actions because no matter what you do there will be consequences both on earth and in heaven.","1","3","1","1","3","2","3","1","1","2"
"text1503SC","What is God's will?","When we pray, ""Thy [Heavenly Father] will be done on earth as it is in heaven,"" I used to think that it meant that Christians are ~giving~ God permission to do His (omnipotent) will, not only in heaven, but also on earth.... I wonder if it may mean that when God's will is done on earth, it is because faithful believers are committed to doing it.

So, how do we determine God's will? What is His will which is being done in His heavenly Kingdom, which we should use as a pattern here on earth?","If there is such thing as ""GOD's Will"" then there is NO such things as Free Will. Then why complain when you fail in life or evil acts takes place around you or when someone kills your dear one or something like Sept 11 takes place in USA. Accept it has GOD's Will!

Instead i strongly believe in KARMA & Free Will. In fact KARMA is generated from one's Free Will; it is our daily actions & habits that creates KARMA. And this self-generated KARMAs could either be of great help to one's future or become a great obstacle in one's life!","2","1","3","2","1","2","3","2","1","1"
"text1192T","I live in zimbabwe,why  the negative attitude?","it's got everything for visitors, doesn't have the crime of kenya or RSA, despite it's problems it's still probably the safest country on the continent,","I think it is mostly because of the World's attitude towards the obvious cases of racism that occured over the past few years- involving the farms and everything. It may take time for people to get over the fact that their land was taken from them and they were left almost penniless with nowhere to go. I personally think that racism is as much of a crime as anything else. It is mostly our perception of crime and security that influences decisions- The crime situation in Kenya is not directed towards a single race- pretty much every body is affected by it, people of all races and all ages. What happened in Zimbabwe was directed at a particular race, and there is no justification for that regardless of what anyone says, I am not taking sides, but maybe there was a more just way of dealing with any problems that the locals had. The negative attitude comes mainly from tourists and the media all over the world. Tourists come to africa mainly for the wildlife and safaris etc.. Therefore the tourists have to be from a place where these things do not exist. ie: Europe, Asia, North America - ""Most"" Europeans are white, they are the closest continent to africa and obviously most of the tourists come from there. After the whole racism fiasco, it is clear to see why the ""World"" would have a negative attitude toward Zimbabwe.","2","3","2","3","3","3","3","2","3","3"
"text291SC","Can people spoil the purity of Islam ? Why do people associate Islam with terrorism?","If a Christian is bad no one blame Christianity. Islam is an Arabic word even they don’t know the meaning of Islam. They never read Quran but just want to be enemy of Islam. They have their anti Islam agenda on their sites.","Oh come on. You know exactly why. Its because the only Muslims getting on the news are the ones who are blowing stuff up. Its the same with every group of people. The Christians that get the attention are Benny Hinn and all the other false prophets banking off the Bible.  And plenty of people accuse Christians of being ""bad"" and worse because of people like this. We are called hypocrites and narrowminded. There are anti-Christian agendas as well as EVERY other religion on the face of this planet. I dont understand why there is so much whinning and complaining over all this.","1","2","2","1","1","1","3","2","2","1"
"text812FR","My ex-husband does not see son?","I got pregnant with a man I was married to briefly.  We divorce soon after my son was born. He pays income deducted child support, but he does not see his son nor wants anything to do with him. I have a good job and can financially support my 8 yr old son. At this point in my sons life I do not think he needs the disruption of his father deciding to step into his life. If he ever even considered it. (slim chance). I was thinking it would be in son's best interest to have his biological father legally stripped of his parental rights, and give up child support. My son's happiness in life is my biggest concern.  I understand his father has moved on and has another life. If he does not want to be a part of son's life I will respect his decision.

I am not sure that my son would be happy visiting his father with his other family and children nor would he feel accepted. I think his life if better off as it is.","YOu GO GIRL!! You've managed to go on with life with your son w/o needing that man!! My dad wasnt  and is not around I'm 23 yrs old and my dad never took the time for me either. I dont need my dad in my life, but I dont hate him, my mom did the right thing of having me choose to accept my dad in my life or not despite of his absence. The only time I see him is when his parents  have a gathering, of corse his new family is there and it feels akward, but I choose to be the bigger person and move on. My dad wasnt the perfect one, no dad is. What your ex did is wrong, but dont make your son hate him, give him the choice to consider him as a dad or no.","1","1","1","1","3","1","2","1","2","1"
"text832NE","what do you think about poor people on the street?","like if you see them on the street why do you walk pass everyday if you care so much and do anything for them ,well why they are still there bagging? helepless","It's so rough in Santa Monica because of the homeless people,  just last month when on a walk a homeless man punched a teenaged girl (walking with her Dad) in the face not 15 feet ahead of me.... because of how it turned out it was almost certainly because the girl gave him a nasty look-- so that one is ok-- but still everywhere downtown, in Century City by the mall, on the beach... they are not helpless tho for the most part, if you watch, some come and are there for a short time and they get out of the situation, others seem to be permanent.","1","1","1","1","3","1","3","2","2","2"
"text1458PG","who can tell me how i can help my father with immigration charges?","My dad is currently in jail on immigratin charges. he tried to jump the border and gt&#92;ot away. and in july of 2005 he got arrested for DUI. i guess the court systen didn't find a previoius deportation and his probation officer called immigration WHEN SHE FOUND OUT and now he has been in jail for a month my family and i are desparate. please is there anywhere we can turn?","Unfortunately I don't know much about this matter...best thing to do is get an immigration lawyer...sorry that you are going through this and I hope that everything works out well for you and your family....on another note.... I find it amazing how people can speak the way they do about someone's heritage/nationality...who cares where your from, who cares what color you are, who cares about you religion...we are all the same no matter what.....and btw in case some of you have forgotten...some of these Mexicans that are here do work harder than the American's that are sitting at home collecting welfare cause they are too darn lazy to get a job...no one person has the right to judge another...and if this illegal immigration bothers people so much...why aren't you out complaining to the government instead of doing it in yahoo...","1","2","1","1","2","2","1","1","1","1"
