"text_id","subject","text","ratingA1","ratingA2","ratingA3","labelA","ratingM1","ratingM2","ratingM3","ratingM4","ratingM5","labelM"
"C05792587_2","Civilian Security Tradecraft (RS600)","Colleagues,

I am proud to announce the launch of the inaugural Civilian Security Tradecraft course at FSI. It is part of institutionalizing the Secretary's leadership and vision as laid out in the QDDR. The course will help prepare our foreign and civil service officers with the tools for strengthening civilian security abroad. I ask you to share this with your colleagues and encourage interested staff to enroll. Additional information is below, and a hearty thanks to the J family and to FSI for all their excellent work.

Best, Maria

Under Secretary of State for Civilian Security, Democracy and Human Rights Department of State 2201 CSI. NW Room 7261 Washington DC 20520 202 - 647-6240","3","3","3","3","3","3","3","2","3","3"
"C05770509_1","","The expression ""do more"" repeated incessantly in today's press is essentially a negative characterization of the Secretary's position. In general, it is code for ""After so much cost and so many losses and so many bombs in our cities, the Americans are telling us we're still not doing enough."" This negative interpretation is used by the PakMil to convince Pakistanis that the U.S. is a malign influence and to avoid taking the steps we seek.

When you brief her this morning suggest the following:

We avoid literally using the words ""do more;"" but Do not hesitate to specify what we want them to do; and Let's push back on this view: We acknowledge their contributions and their losses — and we are helping. Wewould never ask Pakistan to do more alone —we are doing more, too, including supporting Pakistan militarily and economically. Freedom requires constant vigilance and democracy is never ""done.""","3","2","2","3","1","1","2","3","3","2"
"C05782720_1","","Kern-Ann hit our top-lines as scripted to kick off our presser at the Reagan building, then used our affirmative messaging points to address the questions (which were along lines we predicted — see below). We are posting the video on our website and pushing out the transcript. The meeting itself was orderly and uneventful, ending about 15 minutes later than scheduled. Turnout was not that big considering all the press attention.

Issues Kern-Ann addressed in response to Qs:

We are now monitoring press reporting and will engage as needed to shapellorrect/fix. PBS is due to air the segment today which includes KAJ's interview done in Nebraska and we'll have to see whether KAJ's push back with NYT helped with the Cardno-Entrix piece they are working (which could run tomorrow).

KAJ/Caitlin — feel free to add/correct. KAJ endured a tough moot but we think it really paid off. Thanks to Caitlin once again for her super human efforts on this all week. Go team!","2","1","1","1","1","3","2","1","2","1"
"C05784562_2","","P/E colleagues:

If you haven't already done so, please view or read this week the Secretary's speech on economic statecraft, found at http://video.state.gov/en/tor)stories/video/1218722127001/economic-statecraft/s-creationDate/0-1/?0 . It is an important articulation of strategy and priorities sometimes under-attended in traditional DOS deployment.

The speech confirms the wisdom of our efforts here to increase commercial diplomacy activity, integrate economic/commercial staff from different agencies into one team, and begin evaluating ourselves - including in the formal officer performance review process - according to how well these priorities are advanced. As you know, Goals No. 1 & 3 of the Mission New Zealand MSRP and Goal No. 2 of the Mission Samoa MSRP articulate this subject matter as a top priority. Michele / Peter:

In the speech, the Secretary mentions sending out updated instructions on economic statecraft. If we have not already received that document, could you obtain a copy for us.

Thanks much. -D","3","1","1","1","3","3","2","2","2","3"
"C05794274_1","","Dear Madame Secretary,

Thank you. It has been a wonderful experience to travel with you and see you in action!!

The WE America event was terrific. It lift the hopes of so many women. Your example and your attention to on the ground change is clearly having an effect. It is inspriring to see.

Your restraint and steadiness with the Congressional delegation was quite extraodinary. I thought it brilliant to point out that Brazil can use the ""cuba"" card to solidify its support in the region. Rumors are that some did hear the points you made. Sadly, they may forget them on the plane back!!

I am eagerly working on the education and skills develoment initiative. Much is already being done.., as Walmart's contribution made clear. I want to make sure that we are providing the education to create a pipeline of scientists, engineers and not simply skimming the top. The Summit helped to crystalize the challenge and the chance to meet partners who could make this work.

All the best in Brazil, Belgium and Paris.

Kathleen","3","3","3","3","3","3","2","3","3","3"
"C05765915_4","","Huma, H met Asha at CGI and raised concerns about her security. She sent Asha to undersecretary Carson. They met for an hour. Note to US embassy in Nairobi was to be sent re Asha and her family's security. Embassy won't meet with her.

Today's massacre killed her closest allies and blinded and critically wounded her brother.

Asha is last moderate leader. She is speaking out.

They want to kill her, Huma.

Please tell Hillary.

If you want I will email her.

Asha's phone

Dick Wilbur at US Mission to UN in Geneva tried to contact embassy in Nairobi by email. No response yet.

Thanks, Allida Sent from my Verizon Wireless BlackBerry","1","2","2","1","3","2","2","2","1","2"
"C05791312_1","Kindles and State","Sorry for the tardy reply, but I've fallen way behind on nearly everything while I hurtle around the world on my one woman mission to convey American leadership and influence.

I think you know by now that we are working through this idea which has both positives and negatives, and I appreciate your concerns since I am, as you know, a devoted real book person.

Speaking of which, are you in town this week and weekend? If I'm here, I will try to stop by P&P Saturday or Sunday. Plans are still in flux, but seems likely. All the best, H","2","1","1","1","3","1","3","2","2","2"
"C05774098_0","A little advance praise from the qddr from lanny breuer","I sent lanny a draft of diplomacy chapter to see how Dal is likely to respond to inter-agency piece. I thought you would like his response. Tim Rieser was also surprisingly complimentary on Friday -- saying that he had seen many of these exercises but that this was the most thorough and thoughtful of them all.

""Thank you so much for sending me this; I am deeply grateful, and honored, to have the opportunity to comment. Let me begin by saying that, even apart from DOJ's interests in the QDDR, I think that this is a very impressive document; it is beautifully written, and compellingly argued.""

AM","3","2","1","2","2","3","1","2","2","2"
"C05758867_1","","Dear Secretary Clinton,

Although I regretfully missed seeing you on your swing through Beijing earlier this year, I will be back in Washington on July 30. Would love the opportunity to meet with you briefly and give you up update on my thoughts/ insights into China and the rest of the region. The story is not quite as neat as it appears on the surface. Despite all the hype, this region remains an export machine that should struggle in the aftermath of the crisis -- with important implications for many of the global economic issues you are facing. I have had extensive meetings throughout the region over the past few months and would welcome the opportunity to provide you with a first hand assessment.

One other note: I will be publishing a book in Sept! Oct, ""The Next Asia"", which digs beneath the surface of many of the macro issues the region faces. It is generally constructive on the Asian outlook but lays out a number of critical milestones that must be hit to validate the hopes and dreams of the ""Asia Century."" I have asked the publisher (Wiley) to send you an advance copy of the manuscript in the hope you or your staff might find it of interest.

Hope to hear back from you on the feasibility of meeting later this month.

Best regards,

Stephen S. Roach Chairman Morgan Stanley Asia Phone:

NOTICE: If received in error, please destroy, and notify sender. Sender does not intend to waive confidentiality or privilege. Use of this email is prohibited when received in error. We may monitor and store emails to the extent permitted by applicable law.","2","2","3","3","1","1","3","3","3","2"
"C05771363_2","","I'm off to Seattle for a conf on development and women at Microsoft and mtgs with Gates, etc. I wanted to tell you that for your trip to Russia, we have an announcement for you to Gov of St Petersburg who is the highest ranking female official in the Russian govt. When I saw her some months ago, she went on at length about her respect for you and her meeting with you when you were Senator (she also met you at the Rejkavik W conf in '98) We are going to hold a US-Russia women leaders Summit in St P in april. It is in response to what I heard over and over during my trip earlier this year that there is a strong desire (and need) to engage with US. Women and the women's issues have been mostly off the agenda since the days we made it such a priority in the 90's and there is considerable recidivism. She should be happy about the proposed summit.

Secondly, when you meet with the Lithuanian FM this week, he will invite you to the community of Democ ministerial (end for Lith presidency) and as part of it a women and democ. Conf that will mark 10 years since the last one that was held in the continuum you started. There are so many different needs today.

Have a good trip.","2","2","2","2","1","2","3","1","2","1"
"C05789977_1","","Hi Cindy!

How are you? I hope all is well.

I have just returned from a series of field trips to the DRC, South Sudan, Rwanda, Kenya and Burundi - busy developing strategies for our new Cash and Voucher approaches.

You will be pleased to hear that in very many of the countries people I met spoke to me about the important need to address the first 1,000 days of life. I was very pleasantly surprised to hear reference to 1,000 days in some of the most peripheral areas and most difficult humanitarian environments. The countries were I visited had such high levels of accurate malnutrition, and I hope that they can really make progress in addressing the issue.

I remembered the summer of 2010 and I thought to myself that I must write to you and let you know that there is definite impact on the ground.

You mentioned the new arrival here. Yes, I am very excited to see the new direction—WFP is a very exciting organisation with so much promise. I hope we will see you in Rome one of these days too!

All the best,

Simon

Simon Clements Programme Officer (Field Support – ODJ & ODN) ODXC - Cash-for-Change Service UN World Food Programme

Office: Mobile FoodSat: 1301 - 2436","2","1","2","1","2","2","2","1","1","1"
"C05771313_1","","Dear Capricia,

As time moves on, I realize I haven't seen you and Mrs. Clinton (Hillary) in a long time, but I think of you both often. I don't know if movie producers are still worthy in your world, but next time you're in NYC I'd love to see you.

I have such fond memories of you guys watching SHAKESPEARE IN LOVE. I made another movie you might like about the ascendancy of King George after Edward abdicated, it's called KINGS SPEECH. The movie brings to light something that many people don't know, which is that King George was a stutterer and he hired an actor to try and help him overcome it. It's a fun movie that is much in the tradition of SHAKESPEARE IN LOVE, again I think you would both like it (and Hillary would approve because it's PG-13 with not too many swear words).

If you have any trips coming up I'd love to send it to you so you guys can watch and give me your opinion. I could also include a copy of THE TILLMAN STORY, that one is obviously not a happy film, but it's an incredibly important one.

PS

Your bad friend, Harvey PS — Please share this with Madame Secretary.","2","3","2","3","2","3","2","3","2","3"
"C05783604_1","","As I indicated in our Thursday am briefing of S, much to her skepticism I am sure, italy seems to be improving -- although serious risks remain. Below is Amb Thorne's latest reporting:

After Wednesday Italy moved, Berlusconi offered resignation, Napolitano accelerated approval of austerity measures and formation of new govt. Formal resignation and appointment of Mario Monti due Sunday night. Lot of political bickering going on but general direction fixed. Cast of new characters may change.

Merkle and Sarkosy have also chimed in. Spreads down off the peak but still very high. Italy knows what it has to do. David

I hope Thorne is right -- that italy knows what it has to do. We shall see if Monte can get along with the fractious politicians and can keep the public with him. He is very smart -- but his political and motivational skills will be tested. Bob","2","2","3","3","2","1","2","2","2","1"
"C05791747_2","","Burns, On the case where we represent the survivors and families for the embassy bombings, we just learned that the lobbyist for Southern Sudan is negotiating with the state department on a deal that would destroy these victims of the ability to collect money from Sudan. If you remember, last year after putting on a weeks worth of expert testimony the District court in DC gave us a judgment finding that Sudan was directly responsible for supporting and helping the terrorist who carried it out. We were hoping that the State dept would help us just like they required Libya to pay the victims of all of its terrorist acts before they were granted ""restored relations"" in 08. I know that there may be more important national interest involved but supporting the State Dept employees and their families who sacrificed so much should at least be one of them. I'll be coming to DC next week but can come up anytime. John","2","2","1","1","2","1","1","1","2","1"
"C05778848_1","","(SBU) Following up Margaret's meeting with Egyptian FM Aboul-Gheit, I called Hossam Zaki (per the Secretary's request) to ask again about Bill Burn's potential travel. Hossam said that it is a ""solid no."" No reason for S to push, no reason for VPOTUS to call Soliman, no reason to ask again right now. He was full of compliments for Bill Burns and assured me that Bill would be welcome at another time, ""maybe ten days or so."" But not now, ""no way."" His reasons were varied but mirrored those provided by Aboul-Gheit to Margaret. He also noted that Egypt has turned down Ashton and a number of Europeans. I noted that we have had inquiries from Congress about travel, and he said that Congressional travel would also not be welcome now.

Jeffrey Feltman

Assistant Secretary Bureau of Near Eastern Affairs Department of State","2","3","1","2","1","2","2","1","1","1"
"C05781420_2","","Cheryl, Thank you for your facilitation of today's meeting and for what was, at least from my perspective, a very useful conversation. Would appreciate your conveying the following note to the Secretary. Thanks very much. Wendy

Dear Madam Secretary,

Thank you very much for taking some of your very precious time to talk with me this afternoon. From my perspective, I found it a very useful conversation to better understand the challenges in front of you and the Department, daunting as they are. I appreciated as well the candor and sensitivity of the private discussion, a frankness that is essential to ensuring you get the best outcome to help solve problems and meet the needs of the country. I hope you felt you got direct responses from me and a better idea of capabilities and understandings that I bring to the table. I look forward to the further conversations you suggested and any other steps needed as part of your decision-making. And, as always, I am committed to supporting you whether in or out of government.

Thank you again, Wendy","3","3","3","3","3","2","2","2","1","2"
"C05784402_0","","We attempted to raise the issue of women's participation in the Iraq government, in their economy and more broadly when Biden was just in Baghdad. Jeff Feltman was trying to get it into the conversations there.

You will recall the comments of the Iraqi who participated in the NGO meeting with you in Doha about how the door has been closed to women in the government. We have had many discussions with impressive Iraqi women over the last couple years, and to a person they describe their fate as worse now than years ago. Yet without them it will be even harder for Iraq to move forward. To that end, we have been working with post on a action plan along the lines of the National Action Plan on women, peace and security, you will launch next week.

I hope you will find a way to raise the ""women's issue"" in your discussions tom'w.","3","3","2","3","2","2","1","3","3","2"
"C05772332_2","Next Week?","As you wish. You just need to understand that I can explain to the press corps that I work with every day why I am not in Azerbaijan. It is about diplomacy and not headlines. It is very difficult to explain why the State Department spokesman is not present at a direct negotiation between the Palestinians and the Israelis, one of the administration's highest priorities and an event at which there will be a significant number of media. Whether we have a lot to say or a little to say, this will be a global media event and the State Department spokesman will not be there. I do understand our strategy, that we are going to keep our words sparse, given the sensitivity of the negotiations. And to one journalist from the paper of record who said he assumed I would be on the trip. When I hesitated and said I was not sure and then explained that we were making a deliberate calculation regarding our PD strategy, he then remarked that this means the media will have a painful four days in the region because the assumption is there will be nothing provided them. This undermines the trip and ultimately the Secretary. I am a team player and will remain a team player, but this is a decision that comes with a cost, including my credibility as the spokesman.

Pi","1","3","2","2","2","1","1","1","1","1"
"C05788405_0","Many thanks","Lunch yesterday was a true treat; I will keep my menu as a lovely souvenir. Alexander was thrilled that you remembered his chinchilla! I truly look forward to working with you on some legacy speeches, and will start by sending some notes shortly on the ideas we discussed re Munich. I am truly frustrated that I cannot be there; Senator McCain invited me today to be part of his delegation but I am committed to give a speech in Denver. I've also turned up a few new ideas re Iran that I will send along this weekend. All best, and many thanks again, AM

Anne-Marie Slaughter

Bert G. Kerstetter '66 University Professor of Politics and International Affairs Princeton University 440 Robertson Hall Princeton, NJ 08544

Assistant: Terry Murphy tmurph_y

Website: www.princeton.edui—slaughtr","1","2","3","2","1","2","3","1","3","2"
"C05793471_0","Advice","Hillary,

As you have been so kind to share your advice and mentorship with me in the past, I was hoping that we might find some time to chat about some of my current thinking.

With the fabulous results of the Presidents' re-election, I am privileged to be able to continue to serve at the CFTC. I recall your prior advice upon my being offered the post and it was invaluable. The challenges and opportunities to bring about common sense financial reforms have been fabulous. We are now moving beyond agency rule writing and helping the swaps markets transition to a new era of transparency and oversight. (The CFTC just completed final determinations such that the US has met the Pittsburgh G-20 commitment deadline of December 2012 to have our swaps clearing mandate fully in place.)

If we might be able to find a moment to chat, I would love to share my thoughts on possible new challenges and opportunities within the Administration.

I hope all is well with you as well as you gear up for this holiday time and a much deserved break from the day to day stresses of your current post.

Gary","3","1","2","2","3","3","2","3","3","3"
"C05767891_0","HC & Reconciliation","This morning Majority Leader Reid convened an hour-long Senate leadership meeting to discuss the path forward on health care reform. Particpating were Senators Baucus, Dodd, Harkin, Durbin, Schumer and Murray.

Afterwards, Harkin and Durbin confirmed what has been suspected for a while - Senate Leadership has decided to go the reconciliation route on health care reform. The House, they said, will first pass the Senate bill after Senate leaders demonstrate to House leadership that they have the votes to pass reconciliation in the Senate.

Miguel E. Rodriguez

Deputy Assistant Secretary for Senate Affairs

Bureau of Legislative Affairs

U.S. Department of State","3","2","3","3","3","2","2","2","3","3"
"C05767877_1","","Huma, I wanted to relay to you the sincere sentiments of appreciation expressed by the PM's Office and the MFA for the very personal touch by the Secretary notifying the PM about postponement of the trip. Not lost on the GPNG is the fact that the entire trip was postponed, not the PNG portion. As you can imagine that is politically very significant.

Naturally, we stand ready to reconstitute the program or enhance it should the trip move forward at a later date. We got luck today w/the weather—not a rain cloud in sight.

Safe travels, and hopefully we will work together at a later date. Best of luck with the Haiti recovery effort! Regards,

Teddy B. Taylor Ambassador Papua New Guinea, Solomon Islands and The Republic of Vanuatu tel: 675 321-1455 fax: 675 321-3423","2","3","3","3","2","2","3","2","2","2"
"C05764521_2","","Jake,

I wanted to update you on two aspects of our work leading up to the September session at the UN Human Rights Council where the U.S. will be a full member for the first time: 1) freedom of expression (addressed in this email) and 2) human rights strategy at the UN (in a second email on high side).

First, I'd like to let you know about the successful next step in a strategy we are pursuing at the UN Human Rights Council to begin to change the dialogue on Freedom of Expression. We think we have developed a well-balanced text that we can move forward to adoption in the UN HRC's September session. This work contributes to our long-term effort to improve this UN body. Progress on this issue would help us later as we address the even more difficult issue of the ""defamation of religions"" about which the Secretary expressed interest in a Monday senior staff meeting.

An 10-DRL-L-NEA group has been working together to implement the strategy that involves reaching agreement with the Egyptians on a text that we will roll out late next week with countries in the OIC (Organization of the Islamic Conference) and the WEOG (Western European and Other Group, our regional group at the UN).

Experts in L, DRL, 10, and NEA agree that the text protects all USG red lines and offers us a workable compromise that can secure genuine cross-regional consensus when presented in the Human Rights Council in September, hopefully avoiding a divisive vote on this issue. US and Egyptian teams also agreed to the possibility of further cooperation in the UNGA to come to a soft landing on defamation of religions if Cairo and Washington first succeed in passing the FoE resolution by OIC/WEOG consensus.","2","2","2","2","2","2","3","2","2","2"
"C05769049_2","","The latest regarding border issues:

a) Per EmbOff, border at Jimani remained disorganized but functional as in recent days.

b) The flow of persons across the border is constant, but no mass influx. However, official figures under-report the numbers of people crossing, as the data reflect only those being processed correctly. Some Haitians are sneaking across the border, per USG official. Haitian media also report ""tens of thousands"" leaving Port-auPrince, some for the DR border. However, police officials say they have not seen increased illegal entry attempts in the mountains around the Jimani crossing.

c) A Haitian immigration official said that as of lpm on 1/19 he had issued approximately 600 laissez-passes to travelers without documents. Dominican authorities at the other side of the border crossing are generally turning away travelers without a valid visa or official travel document. Medical emergency cases continue being allowed in.

d) The border crossing at Jimani was closed for 45 minutes after the Haitian colonel in charge of customs on the Haitian side began demanding ""manifests"" from vehicles trying to bring assistance across. GODR officials managed to talk the colonel into backing down, but plan to seek his removal. (Note: It is unclear whether this was an attempt at rent-seeking by the Haitian official, but some reporting implied that. End Note).

e) As the next Market Day in Jimani will be Thursday, efforts are already underway to see if market activities that day can be organized so as not to block/hamper through-put of assistance / evacuation vehicles.","3","3","3","3","2","3","2","2","1","2"
"C05767224_0","Happy New Year!","Happy New Year to you, too! I'm sorry for the delay in getting back to you.

On menu: As a start, I can make a list of the lunches that he's made so far. Jason is given money advances. I'm not positive of the total for last year since I came in April but I can have that answer for you by morning. I have skim milk for you.

On the Human Rights Watch Report: I found it online and will print. It is 96 pages so I can put this in a binder if you'd like.

Parks and Recreation: NBC Thursdays at 8:30pm The Good Wife: CBS Tuesdays at lOpm

And it is a huge honor to work for you. I learn so much every day and I am so grateful for this unforgettable experience. Thank you!","1","1","2","1","1","2","1","1","1","1"
"C05786605_1","","HELP-- we are now waiting for at least an hour to take off--and maybe longer

I am so unhappy since again no one said a word but as soon as we pulled away from gate we were told we'd wait for 20 minutes and now just told it will be at least an hour but the good news is that they can't keep us out here longer than 3 hours! So, I want to go to plan B--pls do all you can to get us flying and if that doesn't work, I want to drive so have asked Service and DS to try to work that out.","1","2","3","2","1","1","2","3","2","1"
"C05771747_0","","Please Pass to the Secretary

Madame Secretary,

A shoot out occurred on August 20 in front of the American School in Monterrey (AFSM), resulting in the death of two bodyguards. An investigation is continuing into the details, but our understanding at this point is that it was an attempted kidnapping targeting the relatives of a local business executive. While it does not appear that U.S. families were targeted, the sharp increase in kidnapping incidents in the Monterrey area, and this event in particular, present a very high risk to the families of U.S. citizens who might be become incidental victims.

U.S. security and law enforcement personnel have engaged local and federal security officials to seek their help on understanding the immediate risks and measures that can be taken. I have urged U.S. families at the Consulate in Monterrey not to send their children to school in the coming days while we review the events that took place on August 20. We also are advising U.S. citizens in the area that we have urged Consulate personnel not to send their children to school while we complete this security review.

I am sure that the warden notice will lead to a rash of press reports on U.S. concerns about security in Monterrey. More broadly, if the government cannot get the kidnappings in Monterrey under control, that may affect our ability to function in Monterrey. I have advised Secretary Espinosa of this, and have sought her help as well to address consulate security.

Consulate personnel are currently on ""authorized departure"" and have the option to send their families to a U.S. location. Pat Kennedy is in close touch on these matters.

Carlos Pascual","3","3","3","3","2","3","3","3","3","3"
"C05781516_2","","Qadhafi's interpreter Zlitny (who I have been talking to about the Amcits and journalists, especially Clare) called me with what he said was a message from ""you know."" There was clearly somebody feding him some of these lines. He repeated the line that events have changed and that the U.S. must see the situation for what it is: Hizbollah, Iran, Al-Qaeda, the revolutions in Tunisia and Egypt are all manifestations of a radical Islamic movement sweeping the region. The U.S. must use its influence to stop UK and France from the bombing. Zlitny said the Libyan Government recognizes its mistakes from the start of the crises, but believes that now the crisis (of radical Islam) is real . We must find a way out of this situation: there are misunderstandings that we can iron out. The GOL would accept a face-saving way out that includes a ceasefire and monitors. If we are ready to talk, Fuad said he would be the designated channel. I said I would pass up his message.

He said don't worry about the journalists. I urged him to let Claire call home.","2","2","1","1","1","2","1","1","1","1"
